,test_data,test_class,predict_class,predict_prob
0,"['AWS', '下周', '有', '哪些', '技术', '方面', '的', '活动']",A24,A24,0.9998932805643458
1,"['可以', '把', '安全', '管理', '、', '身份', '、', '权限', '管理', '产品', '的', '文档', '发', '我', '邮箱', '吗']",A22,A22,0.9999999930441987
2,"['亚马', '亚马逊', '云', '科技', '有', '迁移', '上', '云', '的', '解决', '解决方案', '方案', '吗']",A23,A23,0.9999999878807274
3,"['亚马', '亚马逊', '云', '科技', '近几天', '几天', '有', '讲座', '吗']",A24,A24,0.9991745586832405
4,"['能', '提供', '机器', '学习', '产品', '的', '文档', '吗']",A22,A22,0.9999978048313458
5,"['你们', '公司', '都', '有', '什么', '计算', '产品']",A22,A22,0.9999588597972321
6,"['把', '9', '月', '28', '号', '线', '上', '活动', '信息', '发邮件', '邮件', '给', '我']",A24,A24,0.9999999999841833
7,"['介绍', '一下', 'AWS', '的', '解决', '解决方案', '方案']",A23,A23,0.9999996971180029
8,"['你们', '公司', '本周', '有', '哪些', '会议']",A24,A24,0.9990244887468166
9,"['亚马', '亚马逊', '云', '科技', '都', '有', '哪些', '迁移', '上', '云', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999995881268
10,"['你们', '公司', '最近', '有', '哪些', '网上', '研讨', '研讨会']",A24,A24,0.9999987201706252
11,"['可以', '把', 'S3', '的', '产品', '信息', '发', '我', '邮箱', '吗']",A22,A22,0.9994605112761914
12,"['你们', '公司', '都', '提供', '什么', '身份', '管理', '产品']",A22,A22,0.9999950006737546
13,"['AWS', '有没有', '没有', '云端', '安全', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999954532868
14,"['我', '想', '参加', '明天', '天线', '上', '的', '活动']",A24,A24,0.9999959328592355
15,"['亚马', '亚马逊', '云', '科技', '上个', '上个星期', '星期', '有', '哪些', '讲座']",A24,A24,0.9999834395501263
16,"['AWS', '有', '什么', '技术', '方案']",A23,A23,0.989275030187858
17,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '计算', '产品']",A22,A22,0.9999820519683331
18,"['你们', '公司', '后天', '有', '哪些', '线下', '活动']",A24,A24,0.9999697296224631
19,"['亚马', '亚马逊', '云', '科技', '这个', '星期', '有', '什么', '会议']",A24,A24,0.9999147179854371
20,"['你们', '公司', '都', '有', '什么', '云', '网络', '网络产品', '产品']",A22,A22,0.9999983387411447
21,"['AWS', '这周', '有', '安全', '相关', '的', '会议', '吗']",A24,A24,0.9953106164468783
22,"['28', '号', '北京', '线下', '的', '会议', '是', '关于', '什么', '的', '内容']",A24,A24,0.9999997435726984
23,"['你们', '公司', '这个', '星期', '有', '哪些', '研讨', '研讨会']",A24,A24,0.9999993797745863
24,"['亚马', '亚马逊', '云', '科技', '做', '干什么', '什么', '的']",A21,A21,0.7839538762716268
25,"['把', 'AWS', '安全', '产品', '的', '资料', '文件', '发给', '我']",A22,A22,0.9998639403933652
26,"['把', '亚马', '亚马逊', '云', '科技', '数据', '数据库', '据库', '产品', '的', '文档', '发给', '我']",A22,A22,0.9999973256561197
27,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '程序', '程序开发', '开发', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999999713864
28,"['介绍', '一下', '今天', '的', '会议']",A24,A24,0.9911090692495164
29,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '网络', '网络产品', '产品']",A22,A22,0.9999994483159215
30,"['我', '可以', '参加', 'AWS', '的', '会议', '吗']",A24,A24,0.9996513034902446
31,"['把', '亚马', '亚马逊', '云', '科技', '最新', '的', '数据', '数据库', '据库', '产品', '文档', '发', '我', '一下']",A22,A22,0.999999198474066
32,"['你们', '公司', '上个', '上个星期', '星期', '有', '哪些', '研讨', '研讨会']",A24,A24,0.9999999110048319
33,"['亚马', '亚马逊', '云', '科技', '都', '做', '哪些', '产品']",A22,A22,0.9999274876004209
34,"['活动', '查询']",A24,A24,0.9702854638240413
35,"['AWS', '前天', '有', '什么', '活动']",A24,A24,0.9995673474269648
36,"['跟', '我', '说', '说', 'AWS', '的', '游戏', '技术', '产品']",A22,A22,0.999972262854855
37,"['AWS', '本月', '有', '什么', '会议']",A24,A24,0.9989382661973677
38,"['AWS', '都', '提供', '什么', 'AI', '产品']",A22,A22,0.9992854546126257
39,"['AWS', '上个', '上个月', '在', '北京', '有', '什么', '会议']",A24,A24,0.9999692648444749
40,"['AWS', '明天', '在', '广州', '有', '哪些', '峰会']",A24,A24,0.9999671207306523
41,"['AWS', '都', '提供', '什么', '迁移', '上', '云', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999998828102
42,"['下星期', '星期', '有', '什么', '活动']",A24,A24,0.9999956685405617
43,"['上', '两周', '有', '什么', '活动']",A24,A24,0.9999821198842266
44,"['把', 'AWS', '云', '网络', '网络产品', '产品', '的', '说明', '资料', '发', '我', '一下']",A22,A22,0.9999998878363093
45,"['把', '上个', '上个月', '活动', '信息', '发', '我', '邮箱', '上']",A24,A24,0.9999971308591233
46,"['AWS', '有', '云', '服务', '服务器', '务器', '产品', '吗']",A22,A22,0.9999983002670042
47,"['AWS', '做', '什么', '业务']",A21,A21,0.956056158209639
48,"['我', '想要', '要数', '数据', '数据库', '据库', '产品', '的', '资料']",A22,A22,0.9999906267567302
49,"['下星期', '星期', '星期一', '有', '什么', '会议']",A24,A24,0.9999918183858932
50,"['AWS', '都', '有', '什么', '什么游戏', '游戏', '技术', '产品']",A22,A22,0.9999844970806225
51,"['不', '太', '清楚', '楚亚', '亚马', '亚马逊', '云', '科技', '做', '哪些', '业务']",A21,A21,0.9999967208964452
52,"['跟', '我', '说', '说', 'AWS', '的', '安全', '保护', '护产', '产品']",A22,A22,0.9999970813097182
53,"['你们', '公司', '都', '有', '啥', '产品']",A22,A22,0.9993432855253922
54,"['周三', '有', '什么', '活动']",A24,A24,0.9984980472134685
55,"['你们', '公司', '前', '两个', '星期', '有', '哪些', '研讨', '研讨会']",A24,A24,0.9999999629186795
56,"['说', '一下', '明天', '的', '研讨', '研讨会', '介绍']",A24,A24,0.9995444722509139
57,"['AWS', '有', '游戏', '技术', '产品', '吗']",A22,A22,0.9998914863475178
58,"['AWS', '有', '什么', '业务']",A21,A24,0.451126960989554
59,"['AWS', '都', '有', '什么', '解决', '解决方案', '方案']",A23,A23,0.9999999235252013
60,"['亚马', '亚马逊', '云', '科技', '前', '两个', '星期', '在', '北京', '有', '什么', '活动']",A24,A24,0.9999966634737971
61,"['这', '两周', '有', '什么', '活动']",A24,A24,0.9999958903664135
62,"['你们', '公司', '有', '广告', '广告行业', '行业', '的', '解决', '解决方案', '方案', '吗']",A23,A23,0.9999999993951292
63,"['AWS', '上周', '有', '哪些', '研讨', '研讨会']",A24,A24,0.9999667005604763
64,"['把', '亚马', '亚马逊', '云', '科技', '数据', '数据库', '据库', '产品', '的', '文档', '文档资料', '资料', '发', '我', '邮件']",A22,A22,0.9999998004859009
65,"['参加', 'AWS', '的', '活动', '需要', '什么', '活动']",A24,A24,0.9988497895221442
66,"['把', 'AWS', '热门', '的', '行业', '解决', '解决方案', '方案', '资料', '文件', '发', '我', '邮件']",A23,A23,0.9999999877340714
67,"['我', '想', '了解', '11', '月', '5', '号', '线', '上', '的', '会议']",A24,A24,0.999999972760833
68,"['如何', '报名', '亚马', '亚马逊', '云', '科技', '的', '会议']",A24,A24,0.9733829679746762
69,"['11', '月', '5', '号', '线', '上', '的', '研讨', '研讨会', '是', '讲', '数据', '数据库', '据库', '这块', '的', '吗']",A24,A24,0.999999998256456
70,"['11', '月', '5', '号', '线', '上', '的', '研讨', '研讨会', '内容', '是', '什么']",A24,A24,0.9999999994948752
71,"['我', '想', '了解', '一下', 'AWS', '的', '产品']",A22,A22,0.9991902560662568
72,"['讲讲', 'AWS', '的', '产品', '体系']",A22,A22,0.9963903995273633
73,"['把', '上周', '活动', '的', '资料', '发', '我', '邮箱', '里']",A24,A24,0.9756820258334373
74,"['10', '月', '28', '号', '的', '活动', '是', '在', '哪儿', '举办', '的']",A24,A24,0.9999978637115926
75,"['把', '亚马', '亚马逊', '云', '科技', '最新', '的', '安全', '产品', '文档', '发', '我', '一下']",A22,A22,0.9999896664817466
76,"['AWS', '都', '提供', '什么', '企业', '上', '云', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999997769393
77,"['把', '亚马', '亚马逊', '云', '科技', '安全', '产品', '的', '文档', '发到', '我', '邮箱']",A22,A22,0.9999829547778997
78,"['你们', '公司', '最近', '两', '星期', '有', '讲座', '吗']",A24,A24,0.9999993238932289
79,"['把', '亚马', '亚马逊', '云', '科技', '存储', '产品', '的', '文档', '发到', '我', '邮箱']",A22,A22,0.9999986512970622
80,"['有没有', '没有', '什么', '最新', '的', '产品', '，', '介绍', '一下']",A22,A22,0.9999274590757161
81,"['把', 'AWS', '行业', '解决', '解决方案', '方案', '的', '说明', '资料', '发', '我', '一下']",A23,A23,0.9999999864629247
82,"['亚马', '亚马逊', '云', '科技', '上', '两周', '在', '上海', '有', '哪些', '会议']",A24,A24,0.9999972809611837
83,"['你们', '公司', '电话', '电话号码', '号码', '是', '什么']",A21,A21,0.9997031874304737
84,"['跟', '我', '说', '说', 'AWS', '的', '行业', '解决', '解决方案', '方案']",A23,A23,0.9999999959244832
85,"['把', '9', '月', '28', '号', '线', '上', '活动', '信息', '发', '我', '手机', '机上']",A24,A24,0.9999999999907061
86,"['你们', '公司', '都', '提供', '什么', '媒体', '行业', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999996245492
87,"['把', '亚马', '亚马逊', '云', '科技', '安全', '产品', '的', '文档', '文档资料', '资料', '发', '我', '邮件']",A22,A22,0.9999974280205386
88,"['亚马', '亚马逊', '云', '科技', '上个', '上个星期', '星期', '有', '哪些', '在线', '研讨', '研讨会']",A24,A24,0.9999998462068665
89,"['我', '想报', '报名', '10', '月', '28', '号', '上海', '的', '活动']",A24,A24,0.9999999978959622
90,"['AWS', '有没有', '没有', '迁移', '上', '云', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999996987938
91,"['你们', '公司', '都', '有', '什么', '解决', '解决方案', '方案']",A23,A23,0.9999998368127576
92,"['你们', '公司', '上', '两个', '星期', '有', '哪些', '讲座']",A24,A24,0.9999973622656
93,"['把', 'AWS', '云', '网络', '网络产品', '产品', '的', '资料', '文件', '发', '我', '一下']",A22,A22,0.9999998878363093
94,"['怎么', '联系', '你们', '公司']",A21,A21,0.9568430721036731
95,"['把', 'Amozon', '', '', 'EC2', '的', '产品', '信息', '发', '我', '一下']",A22,A22,0.9999902414077458
96,"['你们', '公司', '有没有', '没有', 'AI', '产品']",A22,A22,0.9997033753807653
97,"['AWS', '都', '提供', '什么', '人工', '人工智能', '智能', '与', '机器', '学习', '的', '解决', '解决方案', '方案']",A23,A23,0.9999993512270722
98,"['今年', '有', '什么', '活动']",A24,A24,0.9959072085554542
99,"['你们', '公司', '都', '提供', '哪些', '解决', '解决方案', '方案']",A23,A23,0.9999997953402936
100,"['跟', '我', '介绍', '一下', '你们', '公司', '云', '主机', '产品']",A22,A22,0.9999913339901433
101,"['你们', '公司', '下个星期', '星期', '有', '网上', '活动', '没']",A24,A24,0.9999995990784734
102,"['亚马', '亚马逊', '云', '科技', '有没有', '没有', '有数', '数据', '数据库', '据库', '解决', '解决方案', '方案']",A23,A23,0.9999898501168719
103,"['把', 'AWS', '安全', '产品', '的', '说明', '资料', '发', '我', '一下']",A22,A22,0.999951332028195
104,"['亚马', '亚马逊', '云', '科技', '上', '两', '星期', '有', '活动', '吗']",A24,A24,0.9999993297419579
105,"['你们', '公司', '有机', '机器', '学习', '产品', '吗']",A22,A22,0.9999833117909998
106,"['给', '我', '报', '一下', '明天', '的', '活动']",A24,A24,0.9995865172208585
107,"['有没有', '没有', '存储', '产品', '的', 'word', '文档', '，', '发邮件', '邮件', '给', '我']",A22,A22,0.9999998130265443
108,"['你们', '公司', '都', '有', '哪些', '应用', '安全', '产品']",A22,A22,0.9995611848194991
109,"['把', '亚马', '亚马逊', '云', '科技', '最新', '的', '行业', '解决', '解决方案', '方案', '文档', '发', '我', '一下']",A23,A23,0.9999999362289833
110,"['AWS', '这', '两', '星期', '有', '哪些', '用电', '电脑', '、', '手机', '就', '可以', '观看', '的', '会议']",A24,A24,0.9999999995819593
111,"['你们', '公司', '都', '提供', '哪些', '人工', '人工智能', '智能', '产品']",A22,A22,0.9999398455749384
112,"['近期', '有', '什么', '活动']",A24,A24,0.999624088352206
113,"['AWS', '有没有', '没有', '现代', '应用', '开发', '的', '解决', '解决方案', '方案']",A23,A23,0.99999999995633
114,"['把', 'AWS', '热门', '的', '数据', '数据库', '据库', '产品', '资料', '发', '我', '邮件']",A22,A22,0.9999933277733016
115,"['你们', '公司', '都', '提供', '什么', '数据', '数据分析', '分析', '现代', '现代化', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999999994813
116,"['AWS', '上周', '在', '西安', '有', '哪些', '研讨', '研讨会']",A24,A24,0.9999968062263263
117,"['给', '我', '讲讲', '你们', '公司', '的', '云', '主机', '产品']",A22,A22,0.9999603347755239
118,"['怎么', '报名', '亚马', '亚马逊', '云', '科技', '的', '会议']",A24,A24,0.9690839449085324
119,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '计算', '产品']",A22,A22,0.9999863590980732
120,"['你们', '公司', '都', '有', '什么', '程序', '程序开发', '开发', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999999893916
121,"['亚马', '亚马逊', '云', '科技', '官方', '官方网', '官方网站', '网站', '是', '多少']",A21,A21,0.9999999980362801
122,"['亚马', '亚马逊', '云', '科技', '科技网', '网站', '是', '哪个']",A21,A21,0.9999320747785598
123,"['AWS', '哪些', '热门', '的', '使用', '案例', '解决', '解决方案', '方案']",A23,A23,0.999999934209422
124,"['AWS', '都', '提供', '什么', '云', '主机', '产品']",A22,A22,0.9999237017828065
125,"['有没有', '没有', 'RDS', '的', '产品', '文档', '，', '发', '我', '邮箱', '看看']",A22,A22,0.9999985572095617
126,"['10', '月', '28', '号', '在线', '的', '峰会', '是', '讲', '哪', '方面', '的', '东西']",A24,A24,0.999999976789667
127,"['11', '月', '5', '号', '的', '会议', '是', '说', '电商', '那块', '的', '吗']",A24,A24,0.9999998710239536
128,"['亚马', '亚马逊', '云', '科技', '有没有', '没有', '合规', '合规性', '产品']",A22,A22,0.9999808460504893
129,"['AWS', '前', '两', '星期', '有', '什么', '峰会']",A24,A24,0.9999971195068573
130,"['把', '亚马', '亚马逊', '云', '科技', '机器', '学习', '产品', '的', '说明', '资料', '发到', '我', '邮箱']",A22,A22,0.9999985119555235
131,"['你们', '公司', '都', '提供', '哪些', '云安', '安全', '产品']",A22,A22,0.9999612069903314
132,"['AWS', '都', '有', '哪些', '解决', '解决方案', '方案']",A23,A23,0.9999999216626381
133,"['你们', '公司', '都', '有', '哪些', '旅游', '游行', '行业', '的', '解决', '解决方案', '方案']",A23,A23,0.9999999999663629
134,"['你们', '公司', '下个月', '有', '什么', '会议']",A24,A24,0.9983314813458103
135,"['你们', '公司', '都', '提供', '什么', '数据', '数据库', '据库', '产品']",A22,A22,0.9999748636282414
136,"['你们', '公司', '都', '提供', '什么', '什么游戏', '游戏', '技术', '产品']",A22,A22,0.9999944686468325
137,"['AWS', '前', '两周', '有', '哪些', '活动']",A24,A24,0.9999910359831498
