,test_data,test_class,predict_class,predict_prob
0,"['亚马', '亚马逊', '云', '科技', '上个', '上个月', '有', '哪些', '网上', '研讨', '研讨会']",A2,A2,0.999999994894651
1,"['你们', '公司', '前', '两', '星期', '有线', '上', '讲座', '吗']",A2,A2,0.9999993359123069
2,"['亚马', '亚马逊', '云', '科技', '上个', '上个星期', '星期', '有', '哪些', '讲座']",A2,A2,0.9999999932143382
3,"['11', '月', '5', '号', '成都', '的', '现场', '活动', '是', '讲', '哪', '方面', '的', '内容']",A2,A2,0.9998863121850354
4,"['亚马', '亚马逊', '云', '科技', '有数', '数据', '数据安全', '安全', '产品', '吗']",A2,A2,0.9999999996043698
5,"['有没有', '没有', '什么', '热门', '的', '产品', '，', '推荐', '一下']",A2,A2,0.9997480029362112
6,"['你们', '公司', '上周', '有', '什么', '会议']",A2,A2,0.9999954495641432
7,"['AWS', '有没有', '没有', 'AI', '产品']",A2,A2,0.9999799273825413
8,"['AWS', '上个', '上个月', '在', '广州', '有', '什么', '峰会']",A2,A2,0.9999465223410193
9,"['这', '两', '星期', '有', '什么', '活动']",A2,A2,0.9999311058232442
10,"['你们', '公司', '上周', '有', '网络', '活动', '没']",A2,A2,0.9999995502375486
11,"['你们', '公司', '都', '有', '哪些', '云', '主机', '产品']",A2,A2,0.9999999800218335
12,"['最近', '两周', '有', '什么', '活动']",A2,A2,0.999815390379873
13,"['AWS', '下星期', '星期', '有', '哪些', '线', '上', '研讨', '研讨会']",A2,A2,0.99999947768614
14,"['帮', '我', '报', '一下', '明天', '天线', '上', '的', '活动']",A2,A2,0.9995895699151324
15,"['你们', '公司', '都', '有', '什么', '云', '服务', '产品']",A2,A2,0.9999999789488359
16,"['你们', '公司', '都', '有', '什么', '存储', '产品']",A2,A2,0.9999994300699723
17,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '人工', '人工智能', '智能', '产品']",A2,A2,0.999999997343906
18,"['AWS', '有', '什么', '最新', '活动']",A2,A2,0.9999713452270214
19,"['给', '我', '讲讲', '你们', '公司', '的', '安全', '保护', '护产', '产品']",A2,A2,0.9999999260215829
20,"['把', '9', '月', '28', '号', '线', '上', '活动', '的', '内容', '发', '我', '邮箱', '上']",A2,A2,0.9999999912837012
21,"['把', 'AWS', '数据', '数据库', '据库', '产品', '的', '资料', '文件', '发给', '我']",A2,A2,0.9999999963670803
22,"['你们', '公司', '有数', '数据', '数据保护', '保护', '护产', '产品', '吗']",A2,A2,0.9999985845221885
23,"['AWS', '有机', '机器', '学习', '产品', '吗']",A2,A2,0.9999930203516709
24,"['11', '月', '5', '号', '上海', '活动', '酒店']",A2,A2,0.9994090590438337
25,"['AWS', '前', '两周', '有', '哪些', '活动']",A2,A2,0.9999966071958755
26,"['亚马', '亚马逊', '云', '科技', '有', '合规', '合规性', '产品', '吗']",A2,A2,0.9999999922772673
27,"['把', 'EC2', '的', '产品', '介绍', '发', '我', '邮箱']",A2,A2,0.9999966601555168
28,"['我', '想报', '报名', '10', '月', '28', '号', '上海', '的', '活动']",A2,A2,0.9999955122301304
29,"['你们', '公司', '最近', '有', '活动', '没']",A2,A2,0.9999993834950782
30,"['你们', '公司', '有没有', '没有', '云', '主机', '产品']",A2,A2,0.9999998199214934
31,"['你们', '公司', '都', '有', '哪些', '营销', '销行', '行业', '的', '解决', '解决方案', '方案']",A2,A2,0.9999999961315567
32,"['下', '个', '礼拜', '有', '什么', '活动']",A2,A2,0.9951177066621946
33,"['11', '月', '5', '号', '的', '活动', '是', '关于', '游戏', '这方', '这方面', '方面', '的', '吗']",A2,A2,0.9999451052738885
34,"['把', '10', '月', '28', '号', '的', '会议', '具体', '具体内容', '体内', '内容', '发', '我', '邮件']",A2,A2,0.9999988886062491
35,"['亚马', '亚马逊', '云', '科技', '上', '两', '星期', '在', '广州', '有', '哪些', '活动']",A2,A2,0.9999999998441353
36,"['能', '把', '计算', '产品', '资料', '邮件', '发', '我', '一下', '吗']",A2,A2,0.9999998676664975
37,"['29', '号', '的', '会议', '是', '关于', '什么', '的', '内容']",A2,A2,0.9995478311661435
38,"['AWS', '上个', '上个月', '有', '什么', '现场', '峰会']",A2,A2,0.9998842824024674
39,"['亚马', '亚马逊', '云', '科技', '近几天', '几天', '有', '什么', '网上', '上会', '会议']",A2,A2,0.9999999246168756
40,"['你们', '公司', '有没有', '没有', '云端', '安全', '的', '解决', '解决方案', '方案']",A2,A2,0.9999999958927503
41,"['AWS', '都', '有', '哪些', '存储', '产品']",A2,A2,0.9999980116743729
42,"['AWS', '有没有', '没有', '有数', '数据', '数据保护', '保护', '护产', '产品']",A2,A2,0.999952961051869
43,"['把', '上个', '上个月', '活动', '的', '资料', '发', '我', '邮箱', '上']",A2,A2,0.9999999248538202
44,"['最近', '两', '星期', '有', '什么', '活动']",A2,A2,0.999882218940307
45,"['AWS', '都', '有', '什么', '存储', '产品']",A2,A2,0.9999939765672615
46,"['下半', '下半年', '半年', '有', '什么', '活动']",A2,A2,0.9995754851919335
47,"['AWS', '都', '提供', '什么', '制造', '行业', '解决', '解决方案', '方案']",A2,A2,0.99999980992968
48,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '存储', '产品']",A2,A2,0.9999999961473947
49,"['跟', '我', '说', '说', 'AWS', '的', '云', '主机', '产品']",A2,A2,0.999999146505994
50,"['前', '两', '星期', '有', '什么', '活动']",A2,A2,0.9998740971312903
51,"['如何', '联系', 'AWS']",A2,A2,0.9921365798349482
52,"['10', '月', '28', '号', '的', '现场', '活动', '是', '在', '什么', '位置', '举办', '的']",A2,A2,0.9999610891011637
53,"['AWS', '以前', '有', '什么', '活动']",A2,A2,0.999977884945973
54,"['2', '月份', '有', '什么', '活动']",A2,A2,0.9957253845886302
55,"['怎么', '参加', 'AWS', '的', '科技', '峰会']",A2,A2,0.9999449944867531
56,"['把', '9', '月', '28', '号', '线', '上', '活动', '的', '资料', '发邮件', '邮件', '给', '我']",A2,A2,0.9999999941690021
57,"['11', '月', '5', '号', '的', '会议', '是', '关于', '游戏', '这方', '这方面', '方面', '的', '吗']",A2,A2,0.9999024547488311
58,"['跟', '我', '介绍', '一下', '你们', '公司', '计算', '产品']",A2,A2,0.9999993386193735
59,"['AWS', '公司', '电话', '是', '多少']",A2,A2,0.9993157148811692
60,"['AWS', '上个', '上个月', '在', '西安', '有', '讲座', '吗']",A2,A2,0.9999942308967467
61,"['我', '能', '报名', 'AWS', '的', '研讨', '研讨会', '吗']",A2,A2,0.9999951996202978
62,"['AWS', '都', '提供', '什么', '什么游戏', '游戏', '技术', '产品']",A2,A2,0.9999918442250768
63,"['AWS', '举办', '过', '有', '什么', '活动']",A2,A2,0.9992341243031565
64,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '程序', '程序开发', '开发', '的', '解决', '解决方案', '方案']",A2,A2,0.9999999999863363
65,"['我', '想', '了解', '一下', 'AWS', '的', '计算', '产品']",A2,A2,0.9999991521118587
